Name,Manufacturer,Fuel_Type,Transmission,Engine(CC),Mileage(Km/L),Seats,Price,cluster
Tata Indigo eCS LX BSIV,Tata,Diesel,Manual,1396,23.03,5,2.3,4
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Diesel,Automatic,1968,17.11,5,14.35,3
Maruti Alto 800 2016-2019 CNG LXI,Maruti,CNG,Manual,796,33.44,4,3.5,4
Honda City i-VTEC CVT VX,Honda,Petrol,Automatic,1497,18.0,5,11.97,2
Hyundai Santro GLS I - Euro II,Hyundai,Petrol,Manual,999,0.0,5,1.6,0
Toyota Fortuner 2.8 2WD MT,Toyota,Diesel,Manual,2755,14.24,7,18.9,5
Hyundai Grand i10 Sportz,Hyundai,Petrol,Manual,1197,18.9,5,5.4,0
Maruti Eeco 7 Seater Standard,Maruti,Petrol,Manual,1196,15.1,7,2.95,0
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Petrol,Manual,1198,16.47,5,5.1,0
Maruti Wagon R LXI Minor,Maruti,Petrol,Manual,1061,18.9,5,1.5,0
Honda City 1.5 V MT,Honda,Petrol,Manual,1497,17.0,5,4.9,0
Honda Civic 2010-2013 1.8 S MT,Honda,Petrol,Manual,1799,14.8,5,2.9,0
Honda City 1.5 EXI,Honda,Petrol,Manual,1493,13.0,5,1.15,0
Hyundai i20 1.2 Magna,Hyundai,Petrol,Manual,1197,18.5,5,2.3,0
Hyundai Grand i10 CRDi Sportz Celebration Edition,Hyundai,Diesel,Manual,1120,24.0,5,5.99,1
Volkswagen Vento Petrol Highline AT,Volkswagen,Petrol,Automatic,1598,14.4,5,3.4,2
Hyundai i10 Sportz 1.2,Hyundai,Petrol,Manual,1197,20.36,5,1.7,0
Hyundai i20 Asta,Hyundai,Petrol,Manual,1197,17.0,5,1.99,0
Chevrolet Beat LS,Chevrolet,Petrol,Manual,1199,18.6,5,2.5,0
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,4.85,1
Ford Figo Petrol LXI,Ford,Petrol,Manual,1196,15.6,5,2.65,0
Audi TT 2.0 TFSI,Audi,Petrol,Automatic,1984,9.9,2,27.35,2
Honda City i DTEC VX,Honda,Diesel,Manual,1498,25.1,5,6.9,4
Ford Figo Diesel Titanium,Ford,Diesel,Manual,1399,20.0,5,3.5,4
Toyota Innova 2.5 ZX Diesel 7 Seater,Toyota,Diesel,Manual,2494,12.99,7,12.5,5
Maruti Ciaz 1.4 AT Alpha,Maruti,Petrol,Automatic,1373,19.12,5,9.2,2
Hyundai Grand i10 AT Asta,Hyundai,Petrol,Automatic,1197,18.9,5,4.9,2
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Ford,Petrol,Manual,999,18.88,5,5.55,0
Skoda Octavia Ambition 1.8 TSI AT,Skoda,Petrol,Automatic,1798,14.7,5,13.5,2
Fiat Linea Emotion (Diesel),Fiat,Diesel,Manual,1248,20.4,5,2.6,1
Maruti Swift Lxi BSIII,Maruti,Petrol,Manual,1298,16.1,5,4.5,0
Land Rover Discovery 4 TDV6 SE,Land,Diesel,Automatic,2993,11.8,7,34.0,3
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Diesel,Manual,2494,12.8,7,12.0,5
Maruti Swift LDI,Maruti,Diesel,Manual,1248,28.4,5,5.25,4
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Diesel,Automatic,1968,17.68,5,21.56,3
BMW 5 Series 520d Luxury Line,Bmw,Diesel,Automatic,1995,22.48,5,24.68,3
Hyundai i20 Magna Optional 1.2,Hyundai,Petrol,Manual,1197,18.5,5,3.67,0
BMW X1 M Sport sDrive 20d,Bmw,Diesel,Automatic,1995,17.05,5,29.5,3
Toyota Etios G,Toyota,Petrol,Manual,1496,17.6,5,3.1,0
Tata Indigo LX,Tata,Diesel,Manual,1405,17.0,5,2.9,4
Mercedes-Benz M-Class ML 350 4Matic,Mercedesbenz,Diesel,Automatic,2987,0.0,5,43.0,3
Volkswagen Beetle 2.0,Volkswagen,Petrol,Automatic,1984,10.98,4,15.95,2
Volkswagen Polo GT TDI,Volkswagen,Diesel,Manual,1598,19.7,5,4.5,1
Hyundai Grand i10 CRDi Magna,Hyundai,Diesel,Manual,1120,24.0,5,3.49,1
Maruti Swift VDI BSIV,Maruti,Diesel,Manual,1248,25.2,5,4.25,4
Hyundai Verna CRDi 1.4 E,Hyundai,Diesel,Manual,1396,24.0,5,1.9,1
BMW 5 Series 2003-2012 525d,Bmw,Diesel,Automatic,1995,16.73,5,16.57,3
Honda City 1.5 S MT,Honda,Petrol,Manual,1497,17.0,5,5.75,0
Audi A4 2.0 TDI,Audi,Diesel,Automatic,1968,16.55,5,14.0,3
Fiat Linea Classic Plus 1.3 Multijet,Fiat,Diesel,Manual,1248,19.5,5,2.5,1
Honda City 1.3 EXI,Honda,Petrol,Manual,1343,13.0,5,1.2,0
Fiat Petra 1.2 EL,Fiat,Petrol,Manual,1242,15.5,5,0.85,0
BMW 3 Series 320d Luxury Line,Bmw,Diesel,Automatic,1995,22.69,5,13.95,3
Ford Fiesta 1.4 Duratec EXI,Ford,Petrol,Manual,1388,16.6,5,1.6,0
Tata Nano XTA,Tata,Petrol,Automatic,624,21.9,4,3.6,2
Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti,CNG,Manual,1196,15.1,5,4.5,4
Maruti Ignis 1.2 Delta,Maruti,Petrol,Manual,1197,20.89,5,6.06,0
Maruti Swift Dzire ZXi,Maruti,Petrol,Manual,1298,17.5,5,5.29,0
Ford Ecosport 1.5 DV5 MT Titanium,Ford,Diesel,Manual,1498,22.7,5,5.75,4
Maruti Swift Dzire VXI,Maruti,Petrol,Manual,1197,19.1,5,5.72,0
Hyundai i10 Sportz AT,Hyundai,Petrol,Automatic,1197,16.95,5,4.39,2
Mahindra XUV500 W6 2WD,Mahindra,Diesel,Manual,2179,15.1,7,11.05,5
Hyundai i20 Magna 1.4 CRDi,Hyundai,Diesel,Manual,1396,22.54,5,4.83,1
Maruti Wagon R CNG LXI,Maruti,CNG,Manual,998,33.54,5,2.96,4
Hyundai i20 Asta 1.4 CRDi,Hyundai,Diesel,Manual,1396,21.27,5,4.5,1
BMW 7 Series 730Ld,Bmw,Diesel,Automatic,2993,16.46,5,19.5,3
Skoda Rapid 1.6 MPI AT Style Plus,Skoda,Petrol,Automatic,1598,14.3,5,8.75,2
Audi Q7 45 TDI Quattro Technology,Audi,Diesel,Automatic,2967,14.75,7,67.0,3
Honda City i VTEC VX,Honda,Petrol,Manual,1497,17.4,5,8.4,0
Hyundai Xcent 1.2 Kappa SX,Hyundai,Petrol,Manual,1197,19.1,5,4.99,0
Honda City i DTec E,Honda,Diesel,Manual,1498,26.0,5,8.18,4
Honda Brio S Option MT,Honda,Petrol,Manual,1198,18.4,5,2.9,0
Maruti Ciaz ZDi Plus SHVS,Maruti,Diesel,Manual,1248,28.09,5,7.1,4
Maruti Swift Dzire VDI Optional,Maruti,Diesel,Manual,1248,26.59,5,7.05,4
Honda CR-V 2.4L 4WD AT,Honda,Petrol,Automatic,2354,11.1,5,17.5,2
Toyota Corolla Altis 2008-2013 1.8 VL AT,Toyota,Petrol,Automatic,1794,14.53,5,3.41,2
Maruti Baleno Vxi,Maruti,Petrol,Manual,1590,0.0,5,1.3,0
Honda City 1.5 V MT,Honda,Petrol,Manual,1497,17.0,5,5.68,0
Skoda Laura 1.8 TSI Ambiente,Skoda,Petrol,Manual,1798,13.4,5,4.0,0
BMW 3 Series 320d Sport Line,Bmw,Diesel,Automatic,1995,18.88,5,30.0,3
Maruti SX4 Zxi BSIII,Maruti,Petrol,Manual,1586,15.0,5,1.8,0
Maruti Ciaz VXi Plus,Maruti,Petrol,Manual,1373,20.73,5,6.93,0
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Land,Diesel,Automatic,4367,10.2,7,70.0,3
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Diesel,Manual,2494,12.99,7,7.9,5
Hyundai Santro Xing GL,Hyundai,Petrol,Manual,1086,0.0,5,2.78,0
Hyundai Santa Fe 4WD AT,Hyundai,Diesel,Automatic,2199,13.01,7,14.4,3
Mercedes-Benz New C-Class C250 Avantgarde,Mercedesbenz,Petrol,Automatic,1796,11.74,5,13.5,2
Maruti Wagon R LXI CNG,Maruti,CNG,Manual,998,26.6,5,3.15,4
Maruti Alto LXi,Maruti,Petrol,Manual,796,19.7,5,2.88,0
Maruti Alto 800 2016-2019 LXI,Maruti,Petrol,Manual,796,24.7,5,2.15,0
Nissan Sunny 2011-2014 XV,Nissan,Petrol,Manual,1498,16.95,5,3.75,0
Maruti Alto 800 2016-2019 VXI,Maruti,Petrol,Manual,796,24.7,5,3.6,0
Maruti Alto K10 VXI,Maruti,Petrol,Manual,998,24.07,5,3.6,0
Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai,Petrol,Automatic,1197,18.9,5,7.55,2
Honda Mobilio S i DTEC,Honda,Diesel,Manual,1498,24.2,7,4.7,4
Tata Manza Aqua Quadrajet,Tata,Diesel,Manual,1248,18.8,5,1.6,4
Chevrolet Optra Magnum 2.0 LT,Chevrolet,Diesel,Manual,1991,16.52,5,3.34,1
Honda City i VTEC CVT VX,Honda,Petrol,Automatic,1497,18.0,5,9.1,2
Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,Petrol,Manual,1197,18.9,5,6.17,0
Hyundai Verna CRDi 1.6 SX,Hyundai,Diesel,Manual,1582,22.0,5,2.5,1
Nissan Micra XL,Nissan,Petrol,Manual,1198,18.44,5,3.0,0
Hyundai Verna 1.6 SX,Hyundai,Diesel,Manual,1582,22.32,5,5.75,1
Hyundai Creta 1.6 VTVT E Plus,Hyundai,Petrol,Manual,1591,15.29,5,10.75,0
Maruti Wagon R VXI BS IV,Maruti,Petrol,Manual,998,20.51,5,2.85,0
Honda Accord 2.4 Elegance A/T,Honda,Petrol,Automatic,2354,10.2,5,6.5,2
Honda City 1.5 S AT,Honda,Petrol,Automatic,1497,16.8,5,9.45,2
Maruti Baleno Alpha 1.3,Maruti,Diesel,Manual,1248,27.39,5,6.75,4
Honda City i DTec V,Honda,Diesel,Manual,1498,26.0,5,7.75,4
Hyundai i20 Era 1.4 CRDi,Hyundai,Diesel,Manual,1396,22.54,5,4.4,1
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Mercedesbenz,Diesel,Automatic,2987,13.0,5,42.0,3
Nissan Terrano XV 110 PS,Nissan,Diesel,Manual,1461,19.01,5,5.67,1
Renault Duster 110PS Diesel RxZ AMT,Renault,Diesel,Automatic,1461,19.6,5,11.5,3
Maruti Wagon R LXI Minor,Maruti,Petrol,Manual,998,18.9,5,1.69,0
Hyundai Getz 1.5 CRDi GVS,Hyundai,Diesel,Manual,1493,17.1,5,1.8,1
Maruti Ritz LXi,Maruti,Petrol,Manual,1197,18.5,5,3.2,0
BMW 5 Series 520d Sport Line,Bmw,Diesel,Automatic,1995,22.48,5,45.86,3
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Petrol,Manual,1198,16.47,5,5.1,0
Maruti Swift VDI BSIV,Maruti,Diesel,Manual,1248,17.8,5,4.85,4
Ford Figo Petrol ZXI,Ford,Petrol,Manual,1196,15.6,5,2.4,0
BMW 3 Series 320d Luxury Line,Bmw,Diesel,Automatic,1995,18.88,5,22.0,3
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Diesel,Manual,1582,22.32,5,4.28,1
Renault Duster 85PS Diesel RxL,Renault,Diesel,Manual,1461,20.45,5,5.67,1
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,Petrol,Automatic,1197,18.9,5,6.2,2
BMW X1 sDrive20d,Bmw,Diesel,Automatic,1995,17.05,5,14.49,3
Maruti Ritz VDi,Maruti,Diesel,Manual,1248,21.1,5,3.0,4
Hyundai i10 Era 1.1 iTech SE,Hyundai,Petrol,Manual,1086,19.81,5,2.25,0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Bmw,Diesel,Automatic,2993,15.97,7,43.78,3
Honda City V MT Exclusive,Honda,Petrol,Manual,1497,16.8,5,11.45,0
Mahindra Ssangyong Rexton RX7,Mahindra,Diesel,Automatic,2696,11.18,7,10.5,3
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Diesel,Manual,1498,22.7,5,7.48,4
Maruti Alto LXi,Maruti,Petrol,Manual,796,19.7,5,3.1,0
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Petrol,Manual,1198,16.47,5,2.55,0
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,3.5,1
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,2.59,1
Maruti Ertiga ZDI,Maruti,Diesel,Manual,1248,20.77,7,5.45,4
Ford EcoSport 1.5 TDCi Ambiente,Ford,Diesel,Manual,1498,22.77,5,6.0,4
Toyota Innova Crysta 2.8 ZX AT,Toyota,Diesel,Automatic,2755,11.36,7,15.49,3
BMW 5 Series 523i Sedan,Bmw,Petrol,Automatic,2497,10.8,5,12.5,2
Maruti Swift Dzire Tour LDI,Maruti,Diesel,Manual,1248,23.4,5,4.75,4
Ford Ecosport 1.0 Ecoboost Platinum Edition,Ford,Petrol,Manual,999,18.88,5,7.85,0
Hyundai Verna CRDi SX,Hyundai,Diesel,Manual,1493,16.8,5,6.0,1
Tata Zest Revotron 1.2T XM,Tata,Petrol,Manual,1193,17.57,5,4.0,0
Audi A7 2011-2015 3.0 TDI Quattro,Audi,Diesel,Automatic,2967,14.4,5,28.75,3
Tata Indica Vista Quadrajet VX,Tata,Diesel,Manual,1248,22.3,5,2.5,4
Maruti Swift Dzire VDI,Maruti,Diesel,Manual,1248,26.59,5,5.5,4
Fiat Linea Emotion,Fiat,Petrol,Manual,1368,16.0,5,1.59,0
Hyundai i20 1.2 Spotz,Hyundai,Petrol,Manual,1197,18.6,5,6.22,0
Hyundai EON Era Plus,Hyundai,Petrol,Manual,814,21.1,5,2.75,0
Hyundai Santro Xing XL,Hyundai,Petrol,Manual,1086,0.0,5,1.35,0
Mercedes-Benz GLA Class 200 CDI SPORT,Mercedesbenz,Diesel,Automatic,2143,17.9,5,25.0,3
Maruti Celerio VXI,Maruti,Petrol,Manual,998,23.1,5,2.8,0
Chevrolet Beat LT,Chevrolet,Petrol,Manual,1199,17.8,5,2.45,0
Honda Jazz 1.2 V AT i VTEC Privilege,Honda,Petrol,Automatic,1199,19.0,5,6.35,2
BMW 3 Series 320d Highline,Bmw,Diesel,Automatic,1995,16.07,5,8.0,3
Renault Duster 110PS Diesel RxL,Renault,Diesel,Manual,1461,19.01,5,8.25,1
Ford Figo 2015-2019 1.5P Titanium AT,Ford,Petrol,Automatic,1499,17.01,5,5.95,2
Toyota Innova Crysta 2.4 VX MT,Toyota,Diesel,Manual,2393,13.68,7,19.92,5
Chevrolet Beat Diesel LS,Chevrolet,Diesel,Manual,936,25.44,5,3.15,1
Volkswagen Polo GTI,Volkswagen,Petrol,Automatic,1798,17.21,4,5.75,2
Ford Endeavour 3.2 Trend AT 4X4,Ford,Diesel,Automatic,3198,10.91,7,32.44,3
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Diesel,Automatic,1582,22.32,5,8.01,3
Ford Figo 2015-2019 1.2P Titanium Opt MT,Ford,Petrol,Manual,1196,18.16,5,6.48,0
Maruti 800 AC,Maruti,Petrol,Manual,796,16.1,4,0.75,0
Honda City i DTEC V,Honda,Diesel,Manual,1498,26.0,5,5.0,4
Mahindra XUV500 W8 2WD,Mahindra,Diesel,Manual,2179,16.0,7,7.75,5
Ford Figo Diesel ZXI,Ford,Diesel,Manual,1399,20.0,5,2.6,4
Ford EcoSport 1.5 Petrol Titanium,Ford,Petrol,Manual,1497,17.0,5,9.2,0
Hyundai i20 Asta 1.2,Hyundai,Petrol,Manual,1197,18.6,5,5.05,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Diesel,Manual,2494,12.99,7,9.6,5
Renault Duster 85PS Diesel RxL Optional,Renault,Diesel,Manual,1461,20.46,5,5.5,1
Honda City 1.5 S MT,Honda,Petrol,Manual,1497,17.0,5,2.6,0
Maruti Alto K10 VXI,Maruti,Petrol,Manual,998,24.07,5,3.5,0
Nissan Micra Active XL Petrol,Nissan,Petrol,Manual,1198,19.49,5,4.26,0
Maruti Celerio VXI AT,Maruti,Petrol,Automatic,998,23.1,5,4.25,2
Mercedes-Benz New C-Class 200 Kompressor,Mercedesbenz,Petrol,Manual,1796,11.7,5,11.75,0
Ford Fiesta Diesel Style,Ford,Diesel,Manual,1498,23.5,5,3.5,4
Hyundai Verna 1.6 VTVT S,Hyundai,Petrol,Manual,1591,17.01,5,7.5,0
Hyundai i20 1.4 Asta (AT),Hyundai,Petrol,Automatic,1396,15.0,5,3.25,2
Maruti Swift Dzire VXi,Maruti,Petrol,Manual,1298,17.5,5,4.9,0
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Mercedesbenz,Diesel,Automatic,2143,14.84,5,27.0,3
Hyundai Elite i20 Petrol Asta,Hyundai,Petrol,Manual,1197,18.6,5,8.91,0
Hyundai Verna 1.6 VTVT EX AT,Hyundai,Petrol,Automatic,1591,17.01,5,6.69,2
Chevrolet Cruze LTZ,Chevrolet,Diesel,Manual,1998,17.3,5,6.02,1
Toyota Corolla Altis 1.8 G,Toyota,Petrol,Manual,1798,14.28,5,4.5,0
Maruti A-Star Vxi,Maruti,Petrol,Manual,998,19.0,5,2.0,0
Nissan Micra Diesel XV Premium,Nissan,Diesel,Manual,1461,23.08,5,2.4,1
Tata Nano LX,Tata,Petrol,Manual,624,25.4,4,1.2,0
Maruti Swift Dzire Tour LDI,Maruti,Diesel,Manual,1248,23.4,5,2.9,4
Audi Q3 2.0 TDI Quattro,Audi,Diesel,Automatic,1968,17.32,5,27.0,3
Honda Amaze VX i-DTEC,Honda,Diesel,Manual,1498,25.8,5,7.5,4
Chevrolet Optra 1.6 LS,Chevrolet,Petrol,Manual,1599,14.7,5,1.5,0
Audi Q5 2.0 TDI Premium Plus,Audi,Diesel,Automatic,1968,14.16,5,39.5,3
Maruti Ritz VDi,Maruti,Diesel,Manual,1248,23.2,5,3.39,4
Mahindra Scorpio S6 7 Seater,Mahindra,Diesel,Manual,2179,15.4,7,12.4,5
Maruti Ciaz ZDi SHVS,Maruti,Diesel,Manual,1248,28.09,5,6.85,4
Toyota Corolla Altis Aero D 4D J,Toyota,Diesel,Manual,1364,21.43,5,5.75,5
Tata Indica V2 eLS,Tata,Diesel,Manual,1396,25.0,5,2.0,4
Maruti 800 Std BSIII,Maruti,Petrol,Manual,796,16.1,4,0.9,0
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Petrol,Manual,1198,16.47,5,3.8,0
Hyundai Elantra 2.0 SX Option AT,Hyundai,Petrol,Automatic,1999,14.62,5,16.35,2
Toyota Fortuner 4x2 4 Speed AT,Toyota,Diesel,Automatic,2982,11.5,7,16.5,3
Maruti Baleno Zeta 1.2,Maruti,Petrol,Manual,1197,21.4,5,8.7,0
Maruti Baleno Zeta 1.2,Maruti,Petrol,Manual,1197,21.4,5,6.1,0
Mini Cooper Countryman D,Mini,Diesel,Automatic,1998,23.8,5,21.94,3
Mercedes-Benz S Class 2005 2013 320 CDI,Mercedesbenz,Diesel,Automatic,2987,13.0,5,22.0,3
Maruti Alto K10 LXI,Maruti,Petrol,Manual,998,20.92,5,2.65,0
Maruti Swift VXI Optional,Maruti,Petrol,Manual,1197,20.4,5,5.27,0
Chevrolet Sail LT ABS,Chevrolet,Diesel,Manual,1248,22.1,5,2.48,1
Toyota Fortuner 3.0 Diesel,Toyota,Diesel,Manual,2982,11.5,7,8.9,5
BMW 3 Series 320d Sport Line,Bmw,Diesel,Automatic,1995,18.88,5,18.0,3
Skoda Octavia Ambition 1.4 TSI MT,Skoda,Petrol,Manual,1395,16.8,5,11.64,0
Toyota Fortuner 3.0 Diesel,Toyota,Diesel,Manual,2982,11.5,7,8.99,5
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,Diesel,Automatic,1896,15.5,5,5.25,3
Hyundai i20 1.4 CRDi Asta,Hyundai,Diesel,Manual,1396,23.0,5,2.95,1
Tata Manza Club Class Quadrajet90 LX,Tata,Diesel,Manual,1248,21.02,5,2.65,4
Volkswagen Vento Petrol Highline,Volkswagen,Petrol,Manual,1598,15.04,5,4.0,0
Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,Diesel,Automatic,1582,17.6,5,12.5,3
Maruti Ritz VXI,Maruti,Petrol,Manual,1197,21.1,5,3.25,0
Honda CR-V 2.0L 2WD MT,Honda,Petrol,Manual,1997,13.1,5,4.0,0
Mahindra XUV500 W8 2WD,Mahindra,Diesel,Manual,2179,15.1,7,6.25,5
Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,Diesel,Manual,1498,21.66,5,5.8,1
Tata Zest Revotron 1.2 XT,Tata,Petrol,Manual,1193,17.57,5,5.0,0
Jaguar XJ 3.0L Portfolio LWB,Jaguar,Diesel,Automatic,2993,12.9,5,58.73,3
Toyota Corolla Altis 1.8 VL CVT,Toyota,Petrol,Automatic,1798,14.28,5,17.49,2
Maruti A-Star Vxi,Maruti,Petrol,Manual,998,19.0,5,1.95,0
Honda Accord VTi-L (AT),Honda,Petrol,Automatic,2354,11.1,5,3.0,2
Hyundai i20 Asta (o),Hyundai,Petrol,Manual,1197,17.0,5,5.5,0
Toyota Fortuner 4x2 AT,Toyota,Diesel,Automatic,2982,12.55,7,16.5,3
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedesbenz,Petrol,Automatic,1796,11.74,5,14.5,2
Maruti Baleno Alpha 1.3,Maruti,Diesel,Manual,1248,27.39,5,7.79,4
Maruti Ertiga VDI,Maruti,Diesel,Manual,1248,20.77,7,8.27,4
Land Rover Range Rover Sport SE,Land,Diesel,Automatic,2993,12.65,5,97.07,3
Chevrolet Optra Magnum 1.6 LT ABS BS3,Chevrolet,Petrol,Manual,1598,12.9,5,2.15,0
Honda Civic 2006-2010 1.8 V AT,Honda,Petrol,Automatic,1799,12.9,5,3.0,2
BMW X3 xDrive20d,Bmw,Diesel,Automatic,1995,16.09,5,28.79,3
Skoda Laura Ambition 2.0 TDI CR AT,Skoda,Diesel,Automatic,1968,20.0,5,5.45,3
Maruti Swift Dzire VDI,Maruti,Diesel,Manual,1248,23.4,5,3.95,4
Volvo V40 Cross Country D3,Volvo,Diesel,Automatic,1984,23.3,5,16.0,3
Maruti Swift Dzire ZXi,Maruti,Petrol,Manual,1298,17.5,5,4.25,0
Land Rover Range Rover 2.2L Pure,Land,Diesel,Automatic,2179,12.7,5,34.5,3
Honda Accord 2.4 AT,Honda,Petrol,Automatic,2354,11.7,5,2.6,2
Toyota Fortuner 4x4 MT,Toyota,Diesel,Manual,2982,12.55,7,32.1,5
Honda Jazz 1.2 E i VTEC,Honda,Petrol,Manual,1199,18.7,5,6.17,0
Honda City 1.5 V MT,Honda,Petrol,Manual,1497,17.0,5,5.5,0
Maruti Dzire AMT ZDI Plus,Maruti,Diesel,Automatic,1248,28.4,5,9.15,3
Nissan Sunny 2011-2014 Diesel XL,Nissan,Diesel,Manual,1461,21.64,5,4.5,1
Honda Brio S MT,Honda,Petrol,Manual,1198,19.4,5,5.37,0
Volkswagen Vento Petrol Trendline,Volkswagen,Petrol,Manual,1598,15.04,5,5.45,0
Mahindra XUV500 W4,Mahindra,Diesel,Manual,2179,16.0,7,9.25,5
Ford EcoSport 1.5 Diesel Titanium Plus,Ford,Diesel,Manual,1498,23.0,5,7.7,4
Skoda Yeti Ambition 4X2,Skoda,Diesel,Manual,1968,17.72,5,7.99,1
Hyundai i10 Sportz,Hyundai,Petrol,Manual,1197,20.36,5,3.0,0
Tata Zest Quadrajet 1.3 XT,Tata,Diesel,Manual,1248,20.65,5,6.69,4
Maruti Swift VDI,Maruti,Diesel,Manual,1248,22.9,5,4.25,4
Skoda Rapid 1.5 TDI AT Style,Skoda,Diesel,Automatic,1498,21.72,5,10.5,3
Hyundai Verna 1.6 SX VTVT,Hyundai,Petrol,Manual,1591,17.01,5,5.2,0
Honda City i VTEC VX Option,Honda,Petrol,Manual,1497,17.4,5,11.87,0
Honda City i DTEC SV,Honda,Diesel,Manual,1498,26.0,5,6.99,4
Volkswagen Vento Diesel Highline,Volkswagen,Diesel,Manual,1598,20.54,5,5.0,1
Audi Q5 2008-2012 3.0 TDI,Audi,Diesel,Automatic,2967,12.19,5,44.0,3
Maruti Alto 800 LXI,Maruti,Petrol,Manual,796,22.74,5,2.79,0
Tata Manza ELAN Quadrajet BS IV,Tata,Diesel,Manual,1248,21.12,5,2.9,4
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Hyundai,Petrol,Manual,1591,15.29,5,9.85,0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Mercedesbenz,Diesel,Automatic,2987,12.0,7,49.0,3
Mahindra Thar CRDe,Mahindra,Diesel,Manual,2498,16.55,6,9.25,5
Hyundai Verna 1.6 CRDI,Hyundai,Diesel,Manual,1582,22.32,5,3.75,1
Ford Aspire Titanium Diesel,Ford,Diesel,Manual,1498,26.1,5,7.29,4
Mini Cooper 3 DOOR D,Mini,Diesel,Automatic,1496,20.7,4,23.5,3
Maruti Omni 8 Seater BSIV,Maruti,Petrol,Manual,796,14.0,5,2.6,0
Mahindra Verito 1.5 D4 BSIV,Mahindra,Diesel,Manual,1461,21.03,5,3.1,5
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mercedesbenz,Diesel,Automatic,2143,14.21,5,29.98,3
Renault Duster 110PS Diesel RxZ,Renault,Diesel,Manual,1461,19.01,5,6.73,1
Maruti Swift Dzire Tour LDI,Maruti,Diesel,Manual,1248,23.4,5,3.5,4
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Petrol,Manual,1198,16.47,5,2.35,0
Mahindra XUV500 W10 2WD,Mahindra,Diesel,Manual,2179,16.0,7,16.13,5
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Petrol,Manual,1198,16.47,5,5.9,0
Maruti Ritz VXI,Maruti,Petrol,Manual,1197,21.1,5,3.9,0
Chevrolet Optra 1.6 Elite,Chevrolet,Petrol,Manual,1598,14.7,5,1.5,0
Toyota Innova 2.5 GX 7 STR BSIV,Toyota,Diesel,Manual,2494,12.8,7,6.95,5
Honda City i DTec SV,Honda,Diesel,Manual,1498,26.0,5,7.0,4
Volkswagen Ameo 1.2 MPI Highline,Volkswagen,Petrol,Manual,1198,17.0,5,7.23,0
Maruti SX4 ZDI Leather,Maruti,Diesel,Manual,1248,21.5,5,3.81,4
Maruti Swift ZXI,Maruti,Petrol,Manual,1197,18.6,5,4.5,0
Hyundai Creta 1.6 CRDi SX,Hyundai,Diesel,Manual,1582,19.67,5,12.6,1
Audi Q7 35 TDI Quattro Technology,Audi,Diesel,Automatic,2967,12.07,7,48.0,3
Maruti Alto LXi BSIII,Maruti,Petrol,Manual,796,19.7,5,2.96,0
Honda Amaze SX i-DTEC,Honda,Diesel,Manual,1498,25.8,5,3.25,4
Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,Diesel,Automatic,1968,18.33,5,8.5,3
Hyundai Elantra CRDi SX AT,Hyundai,Diesel,Automatic,1582,19.5,5,8.75,3
Maruti Wagon R VXI BS IV,Maruti,Petrol,Manual,998,18.9,5,3.08,0
Land Rover Discovery Sport TD4 HSE 7S,Land,Diesel,Automatic,1999,12.81,7,41.5,3
Honda City i VTEC SV,Honda,Petrol,Manual,1497,17.8,5,7.0,0
